DIA DE LA SEMANA ,VENTA DECLARADA,(PROMEDIO)
LUNES,"$2,651,591.00","$1,366,552.67"
MARTES,"$1,612,408.00","$1,366,552.67"
MIERCOLES,"$2,500,602.00","$1,366,552.67"
JUEVES,"$702,025.00","$1,366,552.67"
VIERNES,"$423,235.00","$1,366,552.67"
SABADO,"$309,455.00","$1,366,552.67"
,,
 PROMEDIO GENERAL ," $1,366,552.67 ",
 VENTA MAXIMA ," $2,651,591.00 ",
 VENTA MINIMA ," $309,455.00 ",
"""NOTA LAS CANTIDADES QUE SE MUESTRAN EN LA GRAFICA PERTENECEN A LO QUE SE DECLARO"".",,
,,
