DIA DE LA SEMANA ,VENTA DECLARADA,(PROMEDIO),,
LUNES,"$957,576.00"," $763,055.00 ",,
MARTES,"$200,466.00"," $763,055.00 ",,
MIERCOLES,"$817,264.00"," $763,055.00 ",,
JUEVES,"$1,725,484.00"," $763,055.00 ",,
VIERNES,"$418,504.00"," $763,055.00 ",,
SABADO,"$459,036.00"," $763,055.00 ",,
,,,,
 PROMEDIO GENERAL ," $763,055.00 ",,,
 VENTA MAXIMA ," $1,725,484.00 ",,,
 VENTA MINIMA ," $200,466.00 ",,,
"""NOTA LAS CANTIDADES QUE SE MUESTRAN EN LA GRAFICA PERTENECEN A LO QUE SE DECLARO"".",,,,
,,,,
