DIA DE LA SEMANA ,VENTA DECLARADA,(PROMEDIO)
LUNES," $226,195.00 "," $125,361.00 "
MARTES," $137,219.00 "," $125,361.00 "
MIERCOLES," $62,004.00 "," $125,361.00 "
JUEVES," $115,008.00 "," $125,361.00 "
VIERNES," $148,507.00 "," $125,361.00 "
SABADO," $63,233.00 "," $125,361.00 "
,,
 PROMEDIO GENERAL ," $125,361.00 ",
 VENTA MAXIMA ," $226,195.00 ",
 VENTA MINIMA ," $62,004.00 ",
"""NOTA LAS CANTIDADES QUE SE MUESTRAN EN LA GRAFICA PERTENECEN A LO QUE SE DECLARO"".",,
,,
